Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Latitude,Longitude,Substance,Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture,Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Emergency Level,Equipment or component involved,Repair type,Repair date,Equipment or component has never been inspected,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type
Release of Substance,6/21/2014,Geraldton,Ontario,TransCanada PipeLines Limited,49.80132,-86.7603,Natural Gas - Sweet,Gas,No,2014,2014/06/20 12:00:00 PM Mountain,2014/06/20 12:00:00 PM Mountain,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures",Engineering and Planning,Operation,Employee / Contractor (Onsite),3/1/2017,Yes,No,Release of Substance,Natural Gas - Sweet,40,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Fitting, Nipple, Thread",,,No,Visual,Yes,Yes,,
Release of Substance,6/27/2014,Grande Prairie,Alberta,Alliance Pipeline Ltd.,54.528731,-118.154622,Natural Gas - Sweet,Gas,No,2014,2014/05/25 08:00:00 PM Mountain,2014/05/25 08:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),11/12/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Receiving, Valve, Pressure relief, Other (please explain)",Replacement,5/25/2014,No,,No,No,5/25/2014,Replacement
Release of Substance,7/3/2014,Arnprior,Ontario,TransCanada PipeLines Limited,45.30533,-76.20745,Natural Gas - Sweet,Gas,No,2014,2014/07/03 07:30:00 AM Eastern,2014/07/03 07:30:00 AM Eastern,"Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks","Engineering and Planning, Tools and Equipment",Operation,Employee / Contractor (Onsite),2/20/2017,Yes,No,Release of Substance,Natural Gas - Sweet,0.0001,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Fitting, Nipple, Thread",,,No,,No,No,,
Release of Substance,7/6/2014,Crossfield,Alberta,NOVA Gas Transmission Ltd.,51.40375331,-114.0339696,Natural Gas - Sweet,Gas,No,2014,2014/07/06 10:00:00 AM Mountain,2014/07/06 10:00:00 AM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Damage or deterioration mechanism, Geotechnical Failure, Soil Subsidence/Slope Movement;Damage or deterioration mechanism, Other Causes, Unknown","Equipment Failure, Natural Force Damage, Other Causes","Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Engineering and Planning, Maintenance",Operation,3rd Party / Other Company,5/17/2016,Yes,No,Release of Substance,Natural Gas - Sweet,2,No,No,,,,,,,Canada,No,No,Yes,No,Level I,"Pipeline, Flange, Gasket/O-ring",,7/8/2014,Yes,,No,Yes,,
Fire,7/18/2014,Not specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.93969,-120.16184,Not Applicable,Not Applicable,No,2014,2014/07/18 01:30:00 PM Pacific,2014/07/18 01:30:00 PM Pacific,"Damage or deterioration mechanism, Structural Degradation, Corrosion Fatigue;Substandard Conditions, Fire and explosion hazards","Defect and Deterioration, External Interference","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),2/17/2016,No,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,8/1/2014,Maple,Ontario,TransCanada PipeLines Limited,43.873742,-79.579834,Natural Gas - Sweet,Gas,No,2014,2014/07/31 11:00:00 AM Eastern,2014/07/31 11:00:00 AM Eastern,,To be determined,,To be determined,Operation,Employee / Contractor (Onsite),5/11/2017,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,8/6/2014,"23 km SW of Chetwynd, BC ",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.569092,-121.944662,Sulphur,Miscellaneous,No,2014,2014/08/04 09:51:00 PM Pacific,2014/08/04 09:51:00 PM Pacific,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Substandard Acts, Using equipment improperly","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),10/18/2016,No,No,Release of Substance,Sulphur,63,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Fire,8/11/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Not Applicable,Not Applicable,No,2014,2014/08/11 03:30:00 PM Mountain,2014/08/11 03:30:00 PM Mountain,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),11/25/2014,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,Canada,Yes,No,No,No,Level I,Vehicle / mobile equipment,,,No,,No,No,,
Release of Substance,8/13/2014,Edmonton,Alberta,Enbridge Pipelines Inc.,53.547403,-113.355714,Natural Gas Liquids,Gas,No,2014,2014/08/13 05:00:00 AM Mountain,2014/08/13 05:00:00 AM Mountain,"Damage or deterioration mechanism, Equipment;Damage or deterioration mechanism, Other Causes, Improper Operation","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance","Inadequate Supervision, Maintenance",Operation,Employee / Contractor (Onsite),2/5/2015,Yes,No,Release of Substance,Natural Gas Liquids,0.0001,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Receiving, Fitting",,,No,,No,No,,
Release of Substance,8/24/2014,Not Specified,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,Sulphur,Miscellaneous,No,2014,2014/08/24 02:00:00 PM Pacific,2014/08/24 02:00:00 PM Pacific,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Engineering and Planning, Maintenance",Operation,,8/23/2017,No,No,Release of Substance,Sulphur,8.25,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Fatality,9/2/2014,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.146303,-120.669169,Not Applicable,Not Applicable,Yes,2014,2014/09/02 03:32:00 PM Pacific,2014/09/02 03:32:00 PM Pacific,"Substandard Acts, Failure to identify hazard or risk",Incorrect Operation,"Personal factors, Inadequate mental or psychological capability, Fears and phobias;Personal factors, Inadequate mental or psychological capability, Emotional disturbance;Personal factors, Inadequate mental or psychological capability, Mental illness;Personal factors, Physical or physiological stress, Injury or illness;Personal factors, Physical or physiological stress, Fatigue due to lack of rest;Personal factors, Mental or psychological stress, Emotional overload;Personal factors, Mental or psychological stress, Confusing directions or demands;Personal factors, Mental or psychological stress, Preoccupation with problems;Personal factors, Mental or psychological stress, Mental illness;Job or system factors, Inadequate leadership and/or supervision, Unclear or conflicting reporting relationships;Job or system factors, Inadequate leadership and/or supervision, Lack of supervisory or management job knowledge;Job or system factors, Inadequate leadership and/or supervision, Inadequate or incorrect performance feedback;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Inadequate Supervision, Standards and Procedures",Operation,Employee / Contractor (Onsite),6/30/2016,No,No,Fatality,,,,No,,,Vehicle Accident,1,,,Canada,Yes,No,No,No,Level III,,,,No,,No,No,,
Fire,9/8/2014,"Manning, Alberta",Alberta,NOVA Gas Transmission Ltd.,57.191516,-118.194326,Not Applicable,Not Applicable,No,2014,,2014/09/08 02:30:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),4/25/2017,Yes,No,Fire,,,,No,,Under Investigation or Unknown,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve, Pressure relief, Seal/Packing",,,Yes,,No,Yes,,
Release of Substance,9/19/2014,Chitwan,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.569092,-121.944662,Sulphur,Miscellaneous,No,2014,,2014/09/19 12:00:00 AM Mountain,,To be determined,,To be determined,Operation,,8/15/2017,No,No,Release of Substance,Sulphur,,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,9/22/2014,Flume Ridge,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.461,-66.99757,Natural Gas - Sweet,Gas,No,2014,2014/09/22 09:30:00 AM Atlantic,2014/09/22 09:30:00 AM Atlantic,"Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor",Incorrect Operation,"Job or system factors, Inadequate purchasing, Inadequate specifications to vendors;Job or system factors, Inadequate purchasing, Inadequate receiving inspection and acceptance ",Inadequate Procurement,Maintenance,Employee / Contractor (Onsite),3/11/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.3,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Pigging, Launching, Closure",,,No,,No,No,,
Operation Beyond Design Limits,9/29/2014,Not specified,Ontario,Trans-Northern Pipelines Inc.,43.69319,-79.60875,Not Applicable,Not Applicable,No,2014,2014/09/29 11:34:00 AM Eastern,2014/09/29 11:34:00 AM Eastern,"Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Inadequate instructions or procedures",External Interference,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,Operation,Employee / Contractor (Onsite),5/4/2015,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Receiving, Piping",,,Yes,,No,Yes,,
Release of Substance,10/2/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.5724,-121.9442,Sulphur,Miscellaneous,No,2014,2014/10/02 03:50:00 AM Mountain,2014/10/02 03:50:00 AM Mountain,"Damage or deterioration mechanism, Material Loss, Internal Material Loss;Substandard Acts, Failure to identify hazard or risk","Corrosion and Cracking, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,,6/16/2017,Yes,No,Release of Substance,Sulphur,0.382,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Processing Plant, Sulphur plant",,,Yes,,No,Yes,,
Serious Injury (CER or TSB),10/2/2014,Camrose,Alberta,Enbridge Pipelines Inc.,53.00696,-112.82689,Not Applicable,Not Applicable,Yes,2014,2014/10/02 07:00:00 AM Mountain,2014/10/02 07:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Improper Operation",Incorrect Operation,"Personal factors, Lack of skill, Infrequent performance;Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Human Factors, Standards and Procedures",Operation,Employee / Contractor (Onsite),12/2/2014,Yes,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,2,Canada,Yes,No,Yes,No,Level II,Vehicle / mobile equipment,,,No,,No,No,,
Release of Substance,10/3/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,Natural Gas - Sweet,Gas,No,2014,2014/10/02 01:00:00 PM Mountain,2014/10/02 01:00:00 PM Mountain,"Damage or deterioration mechanism, Construction, Defective Other Joint;Substandard Acts, Using equipment improperly;Substandard Acts, Failure to follow procedure or policy or practice","Defect and Deterioration, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Maintenance,,12/22/2014,No,No,Release of Substance,Natural Gas - Sweet,,No,Yes,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Fire,10/16/2014,Fort Simpson,Northwest Territories,Enbridge Pipelines (NW) Inc.,61.86168,-121.34796,Not Applicable,Not Applicable,No,2014,2014/10/16 02:15:00 PM Mountain,2014/10/16 02:15:00 PM Mountain,"Damage or deterioration mechanism, Other Causes, Unknown;Substandard Acts, Using defective equipment;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Defective tools, equipment or materials","External Interference, Incorrect Operation, Other Causes","Personal factors, Lack of skill, Inadequate practice;Personal factors, Improper motivation, Improper attempt to save time or effort",Human Factors,Operation,SCADA,10/25/2016,Yes,No,Fire,,,,No,,Under Investigation or Unknown,,,,,Canada,Yes,No,Yes,No,Level I,"Pipeline, Valve, Ball, Other (please explain);Station/Facility, Power Generation",,,No,,No,No,,
Serious Injury (CER or TSB),10/17/2014,Sherwood Park,Alberta,Enbridge Pipelines Inc.,53.54267,-113.35517,Not Applicable,Not Applicable,Yes,2014,2014/10/16 11:20:00 AM Mountain,2014/10/16 11:20:00 AM Mountain,"Substandard Acts, Improper loading;Substandard Acts, Using equipment improperly;Substandard Conditions, Congestion or restricted action","External Interference, Incorrect Operation","Personal factors, Inadequate mental or psychological capability, Memory failure",Human Factors,Maintenance,Employee / Contractor (Onsite),12/8/2014,No,No,Serious Injury (CER or TSB),,,,No,,,,,Fracture,1,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,10/19/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,Hydrogen Sulphide,Miscellaneous,Yes,2014,2014/10/18 10:30:00 AM Pacific,2014/10/18 10:30:00 AM Pacific,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Failure to secure;Substandard Conditions, Presence of harmful materials","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate maintenance;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,,9/26/2017,No,No,Release of Substance,Hydrogen Sulphide,0.0003,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Processing Plant, Sulphur plant",,,No,Visual,No,No,10/18/2014,Testing of Functionality
Operation Beyond Design Limits,10/22/2014,Fox Creek,Alberta,Alliance Pipeline Ltd.,54.41803,-117.14534,Not Applicable,Not Applicable,No,2014,,2014/10/22 12:00:00 AM Mountain,"Damage or deterioration mechanism, Geotechnical Failure, Landslide",Natural Force Damage,"Job or system factors, Inadequate engineering, Inadequate or improper controls",Engineering and Planning,Operation,Scheduled Patrol,2/4/2016,Yes,No,"Geo-technical, Hydro-technical or Environmental Activity that Threatens the Safe Operation of a Pipeline, Operation Beyond Design Limits",,,,No,,,,,,,Canada,Yes,No,Yes,No,Level I,"Pipeline, Pipe, Body",,,Yes,,No,Yes,,
Release of Substance,10/23/2014,Irma,Alberta,Alliance Pipeline Ltd.,53.03122,-111.2215,Natural Gas - Sweet,Gas,No,2014,,2014/10/20 02:38:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Servicing equipment in operation;Substandard Acts, Failure to check or monitor","Equipment Failure, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring",Maintenance,Operation,Employee / Contractor (Onsite),12/2/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Instrumentation and controls",,,Yes,,No,Yes,,
Release of Substance,11/4/2014,Deux Rivieres,Ontario,TransCanada PipeLines Limited,46.23981,-78.13258,Natural Gas - Sweet,Gas,Yes,2014,2014/11/03 07:00:00 AM Eastern,2014/11/03 07:00:00 AM Eastern,"Substandard Acts, Failure to secure;Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use","Engineering and Planning, Maintenance",Operation,Employee / Contractor (Onsite),12/6/2016,Yes,No,Release of Substance,Natural Gas - Sweet,101000,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Instrumentation and controls",,,Yes,,No,Yes,,
Release of Substance,11/10/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.27322,-66.06481,Natural Gas - Sweet,Gas,No,2014,2014/11/10 05:13:00 PM Atlantic,2014/11/10 05:20:00 PM Atlantic,"Damage or deterioration mechanism, Equipment",Equipment Failure,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance",Tools and Equipment,Operation,3rd Party / Other Company,1/29/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Metering, Delivering, Valve",,,No,,No,No,,
Release of Substance,11/12/2014,Bentley,Alberta,NOVA Gas Transmission Ltd.,52.46696,-114.2987,Natural Gas - Sweet,Gas,No,2014,,2014/11/12 02:30:00 PM Mountain,"Damage or deterioration mechanism, Material or Manufacturing, Defective Circumferential Weld;Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Maintenance,Employee / Contractor (Onsite),1/22/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.001,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,11/15/2014,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",56.14633,-120.66918,Natural Gas - Sweet,Gas,No,2014,2014/11/15 05:00:00 AM Pacific,2014/11/15 05:00:00 AM Pacific,"Damage or deterioration mechanism, Electrical Power System Failure, Electrical Fault",Equipment Failure,"Job or system factors, Excessive wear and tear, Inadequate planning of use",Maintenance,Operation,,9/12/2017,No,No,Release of Substance,Natural Gas - Sweet,,No,No,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,11/27/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,Sulphur Dioxide,Miscellaneous,No,2014,2014/11/27 12:00:00 AM Mountain,2014/11/27 12:00:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,,11/9/2017,No,No,Release of Substance,Sulphur Dioxide,9000,No,Yes,,,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Release of Substance,12/3/2014,Irma,Alberta,Alliance Pipeline Ltd.,53.032311,-111.221031,Natural Gas - Sweet,Gas,No,2014,,2014/12/03 08:07:00 AM Mountain,"Damage or deterioration mechanism, Structural Degradation, Weeping;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing",Maintenance,Operation,Employee / Contractor (Onsite),3/17/2015,No,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Valve",,,No,,No,No,,
Release of Substance,12/4/2014,Kenora,Ontario,TransCanada PipeLines Limited,49.79171,-94.49432,Natural Gas - Sweet,Gas,No,2014,2014/12/04 11:00:00 AM Central,2014/12/04 11:00:00 AM Central,"Damage or deterioration mechanism, Equipment;Substandard Acts, Improper placement;Substandard Acts, Failure to identify hazard or risk","Equipment Failure, Incorrect Operation","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,Operation,Employee / Contractor (Onsite),3/11/2015,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Compression, Pipe",,,No,,No,No,,
Release of Substance,12/4/2014,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",55.56909171,-121.9446616,Sulphur Dioxide,Miscellaneous,No,2014,2014/12/03 07:05:00 AM Mountain,2014/12/04 07:05:00 AM Mountain,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Scheduling of work",Maintenance,Operation,,9/26/2017,Yes,No,Release of Substance,Sulphur Dioxide,3175,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Processing Plant, Flare",,,Yes,,No,Yes,,
Fire,12/5/2014,Lloydminster,Alberta,Cochin Pipe Lines Ltd.,52.405926,-110.026224,Not Applicable,Not Applicable,No,2014,2014/12/05 03:00:00 PM Mountain,2014/12/05 03:00:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body;Substandard Conditions, Weather Related, Frozen components;Substandard Acts, Using equipment improperly;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Substandard Acts, Failure to react or correct;Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Fire and explosion hazards;Substandard Conditions, Inadequate ventilation;Substandard Conditions, Presence of harmful materials;Substandard Conditions, Inadequate instructions or procedures","Defect and Deterioration, Equipment Failure, External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Inadequate purchasing, Inadequate identification of hazardous materials;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Human Factors, Inadequate Procurement, Inadequate Supervision, Maintenance",Construction,,6/2/2015,No,No,Fire,,,,No,,Welding or Cutting,,,,,Canada,Yes,No,No,No,Level I,,,,No,,No,No,,
Operation Beyond Design Limits,12/9/2014,Atmore,Alberta,NOVA Gas Transmission Ltd.,54.836647,-112.551304,Not Applicable,Not Applicable,No,2014,2014/12/08 10:22:00 PM Mountain,2014/12/08 10:22:00 PM Mountain,"Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate warning system","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate engineering, Inadequate evaluation of changes",Engineering and Planning,Maintenance,,9/28/2016,No,No,Operation Beyond Design Limits,,,,No,,,,,,,Canada,Yes,No,Yes,No,Level I,,,,No,,No,No,,
Release of Substance,12/17/2014,Regina,Saskatchewan,Enbridge Pipelines Inc.,50.482408,-104.575209,Crude Oil - Sweet,Liquid,No,2014,,2014/12/16 10:42:00 PM Mountain,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Excessive wear and tear, Inadequate planning of use;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Engineering and Planning, Inadequate Procurement, Maintenance",Operation,3rd Party / Other Company,10/9/2015,Yes,No,Release of Substance,Crude Oil - Sweet,173.6,No,No,,,,,,,Canada,Yes,No,No,No,Level I,"Station/Facility, Pumping, Valve",,,Yes,,No,Yes,,
Release of Substance,12/23/2014,Saint John,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.25902,-66.094405,Natural Gas - Sweet,Gas,No,2014,2014/12/23 04:15:00 AM Atlantic,2014/12/23 04:15:00 AM Atlantic,"Damage or deterioration mechanism, Other Causes, Unknown",Other Causes,"Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance",Maintenance,Operation,,4/21/2015,Yes,No,Release of Substance,Natural Gas - Sweet,100,No,No,,,,,,,Canada,Yes,No,Yes,No,Level I,"Station/Facility, Metering, Receiving, Valve",,,Yes,,No,Yes,,
Release of Substance,12/23/2014,Kenora,Ontario,TransCanada PipeLines Limited,49.79171,-94.49432,Natural Gas - Sweet,Gas,No,2014,2014/12/23 06:00:00 AM Eastern,2014/12/23 06:00:00 AM Eastern,"Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Inadequate Supervision, Maintenance",Operation,Employee / Contractor (Onsite),12/5/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0.01,No,No,,,,,,,Canada,Yes,No,Yes,No,Level I,"Station/Facility, Compression, Auxiliary device(s) (please explain)",,,No,,No,No,,
Release of Substance,1/9/2015,St.George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,45.2022834,-66.6866022,Natural Gas - Sweet,Gas,No,2015,2015/01/08 05:30:00 PM Atlantic,2015/01/08 05:30:00 PM Atlantic,"Substandard Conditions, Weather Related, Frozen components;Substandard Conditions, Weather Related, Temperature Extremes",External Interference,"Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs",Standards and Procedures,Operation,Inspection Site Visit,2/21/2017,No,No,Release of Substance,Natural Gas - Sweet,1,Yes,No,,,,,,,Canada,Yes,No,No,No,Level I,"Pipeline, Valve, Pressure relief, Seal/Packing",,,No,Visual,Yes,No,12/12/2014,Testing of Functionality
